PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
49.62,5.27,54.21,89479.52,43.84,14.11,4.79,129.23,0.92,60473.6,0.23,14.5,9.73,6.66,7.76,12.49,12.46,590.98,54.16,38.75,39.98,46.6,28.66,20.51,21.16,16.41,11.74,12.11,1.19,1.34,0.94,0.53,7.04,95902.5,2,3,1,0,0
49.62,0.98,50.26,290973.01,112.92,17.81,9.94,202.4,0.91,87389,0.6,20.26,18.99,13.41,14.09,18.48,18.55,1553.03,100.13,70.81,73.68,77.42,61.34,43.38,45.14,31.64,22.38,23.28,1.32,1.42,0.46,0.79,61.64,123999.2,2,3,1,0,0
50.02,0.51,54.21,422417.98,85.43,17.09,8.6,169.69,0.9,94194.8,1.2,24.51,23.18,17.81,18.46,18.35,18.43,686.11,88.66,63.07,85.21,88.34,73.11,52.01,70.27,38.27,27.23,36.78,0.63,0.78,0.07,0.24,15.99,173322.2,2,3,1,0,0
50.02,1.84,48.83,485528.92,95.55,17.56,6.8,246.82,0.9,94194.8,1.2,20.76,19.06,14.22,15,18.23,18.31,719.23,72.98,53.92,54.86,57.88,70.1,51.79,52.69,38.68,28.58,29.07,0.95,1.11,0.02,0.59,35.47,204791.8,2,3,1,0,0
50.02,0.1,54.21,519384.86,103.62,17.32,6.24,287.48,0.89,112451.4,1.03,20.92,19.41,13.85,14.84,17.83,17.81,635.12,59.51,41.57,43.66,46.78,58.61,40.94,43,34.74,24.27,25.49,1.32,1.49,0.01,0.79,11.53,211360.7,2,3,1,0,0
50.02,0.06,54.21,601391.48,108.04,19.24,6.26,332.04,0.82,148953.7,0.58,22.8,21.17,14.83,15.57,20.17,20.19,841.34,50.83,35.71,37.1,38.95,50.4,35.41,36.79,32.32,22.71,23.59,1.01,1.18,0.01,0.59,10.45,211777,2,3,1,0,0
49.24,0,26,583754.56,107.59,18.75,5.46,369.5,0.81,157037.7,0.22,19.11,17.68,12.18,13.19,18.61,18.66,986.48,42.54,30.67,27.72,30.02,42.18,30.41,27.49,28.22,20.35,18.39,1.92,2.12,0.01,1.43,11.36,225421.9,2,3,1,0,0
49.3,0.05,0,696245.99,134.43,17.9,5.25,458.47,0.82,166186.5,0.2,23.47,22.23,15.75,16.69,20.2,20.14,578.23,45.49,32.47,32.8,34.76,45.06,32.16,32.49,33.72,24.07,24.32,1.06,1.34,0.01,0.78,16,239033.1,2,0,0,0,0
60.95,6.21,15.59,1446926.77,17.02,44.84,14.33,53.25,0.86,198894.9,0.53,43.18,25.55,22.4,38.38,42.69,42.69,8915.06,52.17,42.78,42.97,73.61,33.91,27.81,27.93,20.27,16.62,16.69,0.35,0.35,0.46,0.07,22.13,178516.1,17,5,3,0,0
65.88,0,20.57,1567861.34,33.23,24.86,7.75,106.63,0.75,418592.1,0.81,42.97,26.38,23.96,37.34,42.56,42.56,5687.59,44.55,39.82,39.42,61.45,32.4,28.96,28.67,20.07,17.94,17.76,0.46,0.46,0.32,0.13,10,257035.1,9,3,3,0,0
